GEO_ID,Total,White,Black,NativeAmerican,Asian,HawaiianAPI,Other,Twoplus
6037183610,2813,843,39,87,254,1,1060,529
6037183620,2912,889,36,59,287,3,1107,531
6037183701,3838,1036,94,123,268,1,1727,589
6037183702,2669,831,124,34,471,5,601,603
6037183810,4260,1120,84,92,214,7,1997,746
6037183820,3626,777,67,99,211,1,1899,572
6037185101,2830,1040,44,69,241,5,952,479
6037185102,2990,1647,96,34,366,2,319,526
6037185202,3682,1391,115,64,260,0,1133,719
6037185203,2651,574,23,90,219,2,1236,507
6037185204,1977,746,48,30,486,3,376,288
6037185310,2724,504,12,71,177,3,1477,480
6037185320,2763,527,40,52,209,2,1358,575
6037186100,4678,1911,63,33,1204,7,658,802
6037186201,3085,805,85,27,1131,2,547,488
6037186202,1985,610,55,40,604,2,335,339
6037186203,2751,1294,61,21,398,0,460,517
6037186301,2679,726,69,47,307,1,1083,446
6037186302,5190,1682,107,106,976,6,1404,909
6037186401,2991,537,74,66,442,2,1401,469
6037186403,2521,596,38,84,448,5,884,466
6037186404,2266,604,30,48,253,2,951,378
6037187101,3011,1226,32,36,664,3,608,442
6037187102,4083,1238,67,60,845,7,1253,613
6037187200,2801,783,51,53,395,1,1062,456
6037187300,3456,1981,81,14,686,4,248,442
6037188100,4070,1765,111,78,438,3,1003,672
6037188201,3378,2193,145,17,334,4,225,460
6037188202,2460,1669,88,15,348,4,86,250
6037188300,3271,1495,38,32,808,4,386,508
6037189101,2589,1787,63,18,267,2,129,323
6037189102,3316,2380,86,10,294,2,134,410
6037189201,3256,2257,147,26,315,4,196,311
6037189202,2775,2048,43,15,292,5,88,284
6037189300,3216,2320,82,16,403,2,89,304
6037189400,3575,2775,102,11,192,5,90,400
6037189501,2183,1654,79,10,135,1,82,222
6037189502,2251,1528,132,7,152,0,175,257
6037189600,3738,2558,220,27,268,0,249,416
6037189702,2389,1717,108,9,183,0,108,264
6037189703,2259,1502,162,8,182,4,103,298
6037189704,2786,1859,173,7,278,7,133,329
6037189801,2302,1706,106,10,118,2,99,261
6037189802,2005,1453,131,0,116,1,86,218
6037189903,2228,1604,140,7,176,5,98,198
6037189904,2502,1673,139,11,212,0,166,301
6037189905,2462,1750,142,10,138,7,168,247
6037189906,2746,1870,204,16,231,1,130,294
